course_id,course_title,domain,level,learning_outcomes,module_no,module_title,study_material,module_learning_outcome
SA-STAT-003,Applied Hypothesis Testing for Policy Analysis,statistical,L3,Formulate null and alternative hypotheses for policy questions; select appropriate statistical tests; interpret p-values and confidence intervals responsibly.,1,Formulating Hypotheses for Policy Questions,A policy question such as 'did the scheme change average household expenditure' is translated into a null hypothesis of no change and an alternative of a real difference. Clear hypothesis formulation prevents ambiguous or misleading test results.,Translate a policy question into a testable null and alternative hypothesis.
SA-STAT-003,Applied Hypothesis Testing for Policy Analysis,statistical,L3,Formulate null and alternative hypotheses for policy questions; select appropriate statistical tests; interpret p-values and confidence intervals responsibly.,2,Choosing the Right Statistical Test,"The choice between a t-test, chi-square test or ANOVA depends on the type of variable, number of groups and whether the data are paired. Selecting the wrong test can produce a technically valid but substantively misleading conclusion.","Select an appropriate statistical test given the variable type, number of groups, and study design."
SA-STAT-003,Applied Hypothesis Testing for Policy Analysis,statistical,L3,Formulate null and alternative hypotheses for policy questions; select appropriate statistical tests; interpret p-values and confidence intervals responsibly.,3,Interpreting p-values and Significance,"A p-value indicates how compatible the data are with the null hypothesis, not the probability the null hypothesis is true. A statistically significant result at the 5 percent level does not automatically imply a policy-relevant or large effect.",Interpret a p-value correctly and distinguish statistical significance from practical significance.
SA-STAT-003,Applied Hypothesis Testing for Policy Analysis,statistical,L3,Formulate null and alternative hypotheses for policy questions; select appropriate statistical tests; interpret p-values and confidence intervals responsibly.,4,Confidence Intervals and Margins of Error,A confidence interval gives a plausible range for a population parameter given the sample estimate and its standard error. Reporting a margin of error alongside a headline statistic gives policymakers a realistic sense of estimate precision.,Construct and interpret a confidence interval for a sample estimate and explain what the margin of error communicates.
SA-STAT-003,Applied Hypothesis Testing for Policy Analysis,statistical,L3,Formulate null and alternative hypotheses for policy questions; select appropriate statistical tests; interpret p-values and confidence intervals responsibly.,5,Common Pitfalls in Statistical Inference,"Common pitfalls include multiple testing without correction, confusing correlation with causation, and drawing conclusions from small or unrepresentative samples. Analysts should flag these limitations explicitly in any policy brief.",Identify at least three common pitfalls in statistical inference and explain how to guard against each in a policy brief.
SA-TECH-001,SQL for Government Data Retrieval,technical,L1,"Write SELECT queries with filtering, sorting and joins; use GROUP BY and aggregate functions to summarize administrative and survey data tables.",1,"Basic SELECT, WHERE and ORDER BY","The SELECT statement retrieves columns from a table, WHERE filters rows by a condition, and ORDER BY sorts the result set. These three clauses form the backbone of nearly every query an analyst writes against a government data table.",Write a SELECT query that filters and sorts rows from a single table.
SA-TECH-001,SQL for Government Data Retrieval,technical,L1,"Write SELECT queries with filtering, sorting and joins; use GROUP BY and aggregate functions to summarize administrative and survey data tables.",2,Joining Related Tables,"An INNER JOIN combines rows from two tables where a key matches, such as linking a household table to a district lookup table. LEFT JOIN keeps all rows from the first table even when no match exists, which matters when some districts have no recorded households yet.",Write a JOIN query linking two related tables and explain the difference between INNER and LEFT JOIN.
SA-TECH-001,SQL for Government Data Retrieval,technical,L1,"Write SELECT queries with filtering, sorting and joins; use GROUP BY and aggregate functions to summarize administrative and survey data tables.",3,GROUP BY and Aggregate Functions,"GROUP BY collects rows that share a value, such as district, into one group per value, and aggregate functions like COUNT, SUM and AVG then summarize each group. Running COUNT(*) with GROUP BY district on a household table returns the number of households per district.",Use GROUP BY with an aggregate function to produce a per-category summary from a data table.
SA-TECH-001,SQL for Government Data Retrieval,technical,L1,"Write SELECT queries with filtering, sorting and joins; use GROUP BY and aggregate functions to summarize administrative and survey data tables.",4,Filtering Groups with HAVING,"WHERE filters individual rows before grouping, while HAVING filters entire groups after aggregation, such as keeping only districts where the household count exceeds a threshold. Confusing the two is a common source of query errors.",Use HAVING to filter aggregated groups and explain how it differs from WHERE.
SA-TECH-001,SQL for Government Data Retrieval,technical,L1,"Write SELECT queries with filtering, sorting and joins; use GROUP BY and aggregate functions to summarize administrative and survey data tables.",5,Writing Subqueries for Multi-Step Analysis,"A subquery is a query nested inside another, useful for multi-step analysis such as finding districts whose average income exceeds the national average computed by an inner query. Subqueries let analysts express complex comparisons without separate manual steps.",Write a subquery to answer a multi-step analytical question against a government data table.
SA-TECH-002,Python for Statistical Data Analysis,technical,L2,Load and clean tabular data with pandas; compute descriptive statistics; produce basic charts for a statistical report.,1,Loading and Inspecting Data with pandas,"pandas' read_csv loads tabular data into a DataFrame, and methods like head(), info() and describe() give a quick first look at structure, data types and missing values. This inspection step catches obvious data issues before any analysis begins.",Load a CSV into a pandas DataFrame and use built-in methods to inspect its structure and quality.
SA-TECH-002,Python for Statistical Data Analysis,technical,L2,Load and clean tabular data with pandas; compute descriptive statistics; produce basic charts for a statistical report.,2,Cleaning and Handling Missing Data,Missing values can be dropped with dropna() or filled with a chosen value or statistic using fillna(). The right choice depends on why data are missing and how much of the analysis would be distorted by removing incomplete records.,Identify missing values in a dataset and apply an appropriate cleaning strategy.
SA-TECH-002,Python for Statistical Data Analysis,technical,L2,Load and clean tabular data with pandas; compute descriptive statistics; produce basic charts for a statistical report.,3,Computing Descriptive Statistics,"pandas provides mean(), median(), std() and groupby() to compute summary statistics overall or by category, such as average expenditure by state. These descriptive statistics are usually the first output requested in any government data report.",Compute overall and group-wise descriptive statistics from a pandas DataFrame.
SA-TECH-002,Python for Statistical Data Analysis,technical,L2,Load and clean tabular data with pandas; compute descriptive statistics; produce basic charts for a statistical report.,4,Merging and Reshaping DataFrames,"merge() combines two DataFrames on a common key, similar to a SQL join, while pivot_table() reshapes long data into a wide summary table. These operations are essential when combining survey rounds or administrative datasets from different sources.",Merge two DataFrames on a key column and reshape data using a pivot table.
SA-TECH-002,Python for Statistical Data Analysis,technical,L2,Load and clean tabular data with pandas; compute descriptive statistics; produce basic charts for a statistical report.,5,Basic Data Visualization for Reports,"matplotlib and pandas' built-in plotting can produce bar charts, line charts and histograms directly from a DataFrame. A well-chosen chart, such as a bar chart of scheme uptake by district, communicates a finding faster than a table of numbers.",Produce an appropriate chart type for a given statistical finding using pandas/matplotlib.
SA-TECH-003,Data Visualization and Reporting for Analysts,technical,L3,Choose appropriate chart types for different data stories; design clear statistical dashboards; avoid common visualization pitfalls in government reporting.,1,Choosing the Right Chart Type,"Trends over time are best shown with line charts, category comparisons with bar charts, and part-to-whole relationships with stacked bars rather than pie charts once there are more than a few categories. Choosing the wrong chart type can obscure the very finding a report is trying to communicate.",Select the appropriate chart type for a given data story and justify the choice.
SA-TECH-003,Data Visualization and Reporting for Analysts,technical,L3,Choose appropriate chart types for different data stories; design clear statistical dashboards; avoid common visualization pitfalls in government reporting.,2,Designing Statistical Dashboards,"An effective dashboard surfaces a small number of key indicators prominently, uses consistent color coding, and lets a viewer drill down without hunting through menus. Government dashboards should prioritize clarity for non-technical decision-makers over visual complexity.",List the design principles for a clear statistical dashboard aimed at non-technical officials.
SA-TECH-003,Data Visualization and Reporting for Analysts,technical,L3,Choose appropriate chart types for different data stories; design clear statistical dashboards; avoid common visualization pitfalls in government reporting.,3,Avoiding Misleading Visualizations,"Truncated y-axes, inconsistent scales across comparable charts, and cherry-picked time windows are common ways a chart can mislead even without altering the underlying numbers. Analysts publishing official statistics have a responsibility to avoid these distortions.",Identify at least three ways a chart can mislead viewers and explain how to avoid each.
SA-TECH-003,Data Visualization and Reporting for Analysts,technical,L3,Choose appropriate chart types for different data stories; design clear statistical dashboards; avoid common visualization pitfalls in government reporting.,4,Communicating Uncertainty Visually,"Error bars, shaded confidence bands and explicit margin-of-error labels help a viewer judge how much weight to place on an estimate. Omitting uncertainty from a chart can make a noisy survey-based estimate look more precise than it really is.",Add an appropriate visual representation of uncertainty to a chart of a survey-based estimate.
SA-TECH-003,Data Visualization and Reporting for Analysts,technical,L3,Choose appropriate chart types for different data stories; design clear statistical dashboards; avoid common visualization pitfalls in government reporting.,5,Structuring a Statistical Report,"A clear statistical report states the question, describes data and methodology briefly, presents findings with supporting charts, and separates descriptive findings from policy recommendations. This structure lets readers at different levels of technical depth find what they need quickly.",Outline the structure of a clear statistical report for a policy audience.
SA-DGOV-001,Digital Governance Fundamentals,digital_gov,L1,Explain the goals of India's Digital Governance framework; describe key platforms such as e-Office and DigiLocker; identify interoperability principles across government systems.,1,Principles of Digital Governance,"Digital governance aims to make government services more transparent, efficient and accessible by moving processes online and enabling data-driven decision-making. Core principles include citizen-centricity, interoperability between departments, and security by design.",Explain the core principles underlying India's digital governance approach.
SA-DGOV-001,Digital Governance Fundamentals,digital_gov,L1,Explain the goals of India's Digital Governance framework; describe key platforms such as e-Office and DigiLocker; identify interoperability principles across government systems.,2,e-Office for File and Workflow Management,"e-Office digitizes file movement, approvals and correspondence within government offices, replacing paper files with tracked electronic workflows. This reduces processing delays and creates an auditable record of every decision stage.",Describe how e-Office changes file and approval workflows compared to a paper-based system.
SA-DGOV-001,Digital Governance Fundamentals,digital_gov,L1,Explain the goals of India's Digital Governance framework; describe key platforms such as e-Office and DigiLocker; identify interoperability principles across government systems.,3,DigiLocker and Document Verification,"DigiLocker lets citizens store and share verified digital copies of documents such as certificates and licenses, reducing the need for physical document submission. Officials can verify documents electronically against the issuing authority's records.",Explain how DigiLocker enables paperless document verification for citizens and officials.
SA-DGOV-001,Digital Governance Fundamentals,digital_gov,L1,Explain the goals of India's Digital Governance framework; describe key platforms such as e-Office and DigiLocker; identify interoperability principles across government systems.,4,Interoperability Across Government Systems,"Interoperability standards, such as common APIs and shared data schemas, let separate government systems exchange information without manual re-entry. Without interoperability, the same citizen data must be collected repeatedly across departments, increasing error and burden.",Explain why interoperability standards matter and give an example of the inefficiency they prevent.
SA-DGOV-001,Digital Governance Fundamentals,digital_gov,L1,Explain the goals of India's Digital Governance framework; describe key platforms such as e-Office and DigiLocker; identify interoperability principles across government systems.,5,Measuring Digital Service Delivery,"Digital service delivery is measured through indicators such as turnaround time, first-time-right rate, and citizen satisfaction scores collected through service portals. These metrics let departments identify bottlenecks in an otherwise invisible digital process.",List indicators used to measure the quality of a digital government service and explain what each reveals.
SA-DGOV-002,Data Protection and the DPDP Act for Officials,digital_gov,L2,Explain key obligations under India's Digital Personal Data Protection Act; identify lawful grounds for processing citizen data; describe basic data-minimization practices.,1,Overview of the DPDP Act,"The Digital Personal Data Protection Act sets rules for how personal data of Indian citizens may be collected, processed and stored, applying to both government and private entities. It establishes rights for data principals and obligations for data fiduciaries handling that data.",Summarize the purpose and scope of the DPDP Act.
SA-DGOV-002,Data Protection and the DPDP Act for Officials,digital_gov,L2,Explain key obligations under India's Digital Personal Data Protection Act; identify lawful grounds for processing citizen data; describe basic data-minimization practices.,2,Lawful Grounds for Processing Personal Data,"Consent is the primary lawful ground for processing personal data under the Act, though certain government functions such as benefit delivery may rely on specified legitimate uses without requiring fresh consent each time. Officials must document which ground applies to any data collection activity.",Identify the lawful ground for processing personal data in a given government data-collection scenario.
SA-DGOV-002,Data Protection and the DPDP Act for Officials,digital_gov,L2,Explain key obligations under India's Digital Personal Data Protection Act; identify lawful grounds for processing citizen data; describe basic data-minimization practices.,3,Data Minimization and Purpose Limitation,"Data minimization means collecting only the personal data necessary for a stated purpose, and purpose limitation means not reusing that data for an unrelated purpose without a new lawful basis. A survey collecting income data for a welfare scheme should not repurpose it for unrelated profiling.",Apply data minimization and purpose limitation principles to a sample data-collection form.
SA-DGOV-002,Data Protection and the DPDP Act for Officials,digital_gov,L2,Explain key obligations under India's Digital Personal Data Protection Act; identify lawful grounds for processing citizen data; describe basic data-minimization practices.,4,Data Principal Rights and Grievance Redressal,"The Act gives citizens rights to access, correct and, in some cases, erase their personal data, along with a right to grievance redressal if these rights are denied. Government offices handling citizen data must have a process for responding to such requests within prescribed timelines.",List the key rights available to a data principal under the DPDP Act.
SA-DGOV-002,Data Protection and the DPDP Act for Officials,digital_gov,L2,Explain key obligations under India's Digital Personal Data Protection Act; identify lawful grounds for processing citizen data; describe basic data-minimization practices.,5,Consequences of Non-Compliance,Non-compliance with the DPDP Act can result in financial penalties for the data fiduciary and reputational damage to the department involved. Regular audits of data-handling practices help departments identify and fix compliance gaps before they result in a breach or complaint.,Explain the consequences of DPDP non-compliance and describe one preventive practice a department can adopt.
SA-DGOV-003,Open Government Data and e-Office Practices,digital_gov,L3,Explain the Open Government Data policy; describe the dataset publishing lifecycle on OGD platforms; apply data anonymization before release.,1,Open Government Data Policy Overview,"The Open Government Data policy encourages departments to proactively publish non-sensitive datasets in accessible formats to support transparency, research and innovation. Publishing on a common platform, rather than scattered department websites, makes datasets easier for the public to discover and reuse.",Explain the goals of the Open Government Data policy and why a common platform matters.
SA-DGOV-003,Open Government Data and e-Office Practices,digital_gov,L3,Explain the Open Government Data policy; describe the dataset publishing lifecycle on OGD platforms; apply data anonymization before release.,2,Preparing a Dataset for Publication,"Before publication, a dataset is checked for sensitive fields, documented with clear column descriptions and licensing terms, and formatted consistently, typically as CSV alongside a metadata file. Poorly documented open datasets are technically public but effectively unusable.",List the steps required to prepare a government dataset for open publication.
SA-DGOV-003,Open Government Data and e-Office Practices,digital_gov,L3,Explain the Open Government Data policy; describe the dataset publishing lifecycle on OGD platforms; apply data anonymization before release.,3,Anonymization and Disclosure Control,"Anonymization removes or generalizes direct identifiers such as names and addresses, while disclosure-control techniques like aggregation or suppression of small cell counts prevent re-identification through combinations of remaining variables. Survey microdata releases require particular care around small-population cross-tabulations.",Apply a basic disclosure-control technique to a dataset before it is released publicly.
SA-DGOV-003,Open Government Data and e-Office Practices,digital_gov,L3,Explain the Open Government Data policy; describe the dataset publishing lifecycle on OGD platforms; apply data anonymization before release.,4,Licensing and Reuse Terms,"Open datasets are published under a specified license, such as one permitting free reuse with attribution, so that researchers and developers know exactly how they may use the data. Clear licensing avoids ambiguity that would otherwise deter legitimate reuse.",Explain why explicit licensing terms matter for an open dataset and identify what a typical open license permits.
SA-DGOV-003,Open Government Data and e-Office Practices,digital_gov,L3,Explain the Open Government Data policy; describe the dataset publishing lifecycle on OGD platforms; apply data anonymization before release.,5,Maintaining Datasets After Publication,"Published datasets need a maintenance plan covering update frequency, versioning, and a channel for users to report data-quality issues, otherwise they quickly go stale. A dataset with no update history is often less trusted by users than one with a clear versioned release log.",Describe what an ongoing maintenance plan for a published open dataset should include.
SA-MGT-001,Foundations of People Management in Government,managerial,L1,Explain core people-management responsibilities of a government supervisor; describe basic performance-feedback practices; identify common team coordination challenges in field operations.,1,Role of a Supervisor in Government Offices,"A government supervisor is responsible for allocating work, monitoring progress against deadlines, and supporting staff through procedural and technical difficulties. Effective supervision balances oversight with enough autonomy for staff to exercise professional judgement.",Describe the core responsibilities of a supervisor in a government office setting.
SA-MGT-001,Foundations of People Management in Government,managerial,L1,Explain core people-management responsibilities of a government supervisor; describe basic performance-feedback practices; identify common team coordination challenges in field operations.,2,Giving Constructive Feedback,"Constructive feedback focuses on specific, observable behavior and its impact, rather than general judgements about a person's ability. Timely feedback, given close to the event, is more useful for improving performance than feedback delivered only at an annual review.",Draft constructive feedback for a specific work situation using observable behavior and impact.
SA-MGT-001,Foundations of People Management in Government,managerial,L1,Explain core people-management responsibilities of a government supervisor; describe basic performance-feedback practices; identify common team coordination challenges in field operations.,3,Coordinating Field Survey Teams,"Coordinating a field survey team involves clear task allocation, realistic scheduling around travel and respondent availability, and a communication channel for reporting problems from the field promptly. Gaps in coordination often show up as inconsistent data collection across enumerators.",Identify common coordination challenges in field survey operations and propose a mitigation for each.
SA-MGT-001,Foundations of People Management in Government,managerial,L1,Explain core people-management responsibilities of a government supervisor; describe basic performance-feedback practices; identify common team coordination challenges in field operations.,4,Managing Workload and Priorities,"Prioritization frameworks that separate urgent from important tasks help a supervisor allocate limited staff time across competing deadlines, such as a data-quality review versus a routine report. Without explicit prioritization, urgent but low-value tasks can crowd out important long-term work.",Apply a basic prioritization framework to a set of competing team tasks.
SA-MGT-001,Foundations of People Management in Government,managerial,L1,Explain core people-management responsibilities of a government supervisor; describe basic performance-feedback practices; identify common team coordination challenges in field operations.,5,Handling Underperformance Fairly,"Addressing underperformance fairly means documenting specific incidents, discussing them directly with the staff member, and offering a clear improvement plan before escalating formally. Skipping documentation or direct conversation often makes later formal action harder to justify.","Outline a fair, documented process for addressing a staff member's underperformance."
SA-MGT-002,Leading Survey Teams and Stakeholder Communication,managerial,L2,Apply leadership approaches suited to field survey operations; communicate effectively with external stakeholders; manage conflict within a team.,1,Leadership Styles for Field Operations,"Directive leadership suits time-pressured field situations with clear procedures, while a more participative style works better for planning phases where team input improves the survey design. Matching leadership style to the situation, rather than using one style everywhere, produces better outcomes.",Match an appropriate leadership style to a given field-operations scenario.
SA-MGT-002,Leading Survey Teams and Stakeholder Communication,managerial,L2,Apply leadership approaches suited to field survey operations; communicate effectively with external stakeholders; manage conflict within a team.,2,Communicating with External Stakeholders,"Communicating with district officials, local bodies or respondent communities requires adapting technical survey language into plain, purpose-driven explanations of why data is being collected and how it will be used. Poor stakeholder communication is a common cause of low survey cooperation rates.",Draft a plain-language explanation of a survey's purpose for an external stakeholder audience.
SA-MGT-002,Leading Survey Teams and Stakeholder Communication,managerial,L2,Apply leadership approaches suited to field survey operations; communicate effectively with external stakeholders; manage conflict within a team.,3,Managing Conflict Within a Team,"Conflict within a team, such as disagreement over task allocation, is best addressed early through a direct, private conversation that separates the issue from personal blame. Left unaddressed, small conflicts tend to escalate and affect broader team morale and data quality.",Describe a structured approach to resolving a specific team conflict scenario.
SA-MGT-002,Leading Survey Teams and Stakeholder Communication,managerial,L2,Apply leadership approaches suited to field survey operations; communicate effectively with external stakeholders; manage conflict within a team.,4,Motivating Teams Under Field Constraints,"Field teams operating under difficult conditions, such as remote travel or tight timelines, respond well to clear recognition of effort, transparent workload distribution, and visible support from supervisors during difficulties. Motivation problems often trace back to a perceived lack of fairness in how work is distributed.",Propose two practical steps to motivate a field team facing difficult working conditions.
SA-MGT-002,Leading Survey Teams and Stakeholder Communication,managerial,L2,Apply leadership approaches suited to field survey operations; communicate effectively with external stakeholders; manage conflict within a team.,5,Reporting Progress to Senior Management,"Progress reports to senior management should lead with the key status and risks, followed by supporting detail, rather than a chronological account of activities. A report structured this way lets a busy senior officer make a decision without reading the entire document.",Structure a concise progress report for a senior management audience.
SA-MGT-003,Strategic Decision-Making for Senior Officials,managerial,L3,Apply structured decision-making frameworks to policy choices; balance competing stakeholder interests; evaluate trade-offs under resource constraints.,1,Structured Decision-Making Frameworks,"A structured framework, such as listing options, criteria and trade-offs explicitly before deciding, reduces the influence of unconscious bias on high-stakes policy choices. Senior officials who document this reasoning also leave a clearer audit trail for later review.",Apply a structured decision-making framework to a sample policy choice.
SA-MGT-003,Strategic Decision-Making for Senior Officials,managerial,L3,Apply structured decision-making frameworks to policy choices; balance competing stakeholder interests; evaluate trade-offs under resource constraints.,2,Balancing Competing Stakeholder Interests,"Major decisions in government often involve stakeholders with genuinely competing interests, such as field staff wanting more time versus leadership wanting faster results. Explicitly naming these trade-offs, rather than treating one interest as automatically correct, produces more durable decisions.",Identify competing stakeholder interests in a given decision scenario and propose a balanced resolution.
SA-MGT-003,Strategic Decision-Making for Senior Officials,managerial,L3,Apply structured decision-making frameworks to policy choices; balance competing stakeholder interests; evaluate trade-offs under resource constraints.,3,Resource Allocation Under Constraints,"Allocating a fixed budget or staff pool across multiple valid priorities requires explicit criteria, such as expected impact per rupee or per staff-day, rather than defaulting to equal splits or historical patterns. Historical allocation patterns can persist well past the point where they still reflect actual priorities.",Apply an explicit criterion to allocate a limited resource across competing priorities.
SA-MGT-003,Strategic Decision-Making for Senior Officials,managerial,L3,Apply structured decision-making frameworks to policy choices; balance competing stakeholder interests; evaluate trade-offs under resource constraints.,4,Risk Assessment in Policy Decisions,"A basic risk assessment identifies what could go wrong with a proposed decision, how likely it is, and what the impact would be, allowing mitigation to be planned in advance rather than reactively. Skipping this step often means risks are only discovered after they have already caused a problem.",Conduct a basic risk assessment for a proposed policy decision.
SA-MGT-003,Strategic Decision-Making for Senior Officials,managerial,L3,Apply structured decision-making frameworks to policy choices; balance competing stakeholder interests; evaluate trade-offs under resource constraints.,5,Communicating Strategic Decisions Downstream,"Once a strategic decision is made, clearly communicating the reasoning behind it to implementing staff improves compliance and reduces confusion during rollout. Decisions announced without their underlying rationale are more likely to be inconsistently implemented at the field level.",Draft a brief explaining both a strategic decision and the reasoning behind it for implementing staff.
igot-stat-101,Fundamentals of Official Statistics,statistical,L1,"Explain the structure of India's NSS survey rounds, core sampling design choices, and how raw field data becomes a published estimate.",1,How an NSS Survey Round Is Structured,"An NSS round is organized around a defined subject (such as household consumption or employment), a reference period, and a fixed field schedule that enumerators follow across selected sample units. Each round has its own schedule of enquiry — a structured questionnaire — designed specifically for that round's subject matter.","Describe the basic components of an NSS survey round: subject, reference period and schedule of enquiry."
igot-stat-101,Fundamentals of Official Statistics,statistical,L1,"Explain the structure of India's NSS survey rounds, core sampling design choices, and how raw field data becomes a published estimate.",2,Sampling Frame and First-Stage Units,"The sampling frame for NSS rounds is typically built from the latest Census village/block list, from which first-stage units (villages in rural areas, urban frame survey blocks in urban areas) are selected with probability proportional to population size. An outdated frame can systematically miss newer settlements.",Explain what a sampling frame is and why an outdated frame biases first-stage unit selection.
igot-stat-101,Fundamentals of Official Statistics,statistical,L1,"Explain the structure of India's NSS survey rounds, core sampling design choices, and how raw field data becomes a published estimate.",3,Second-Stage Selection of Households,"Within each selected first-stage unit, households are listed and stratified (for example by an affluence indicator), then a fixed number are selected via simple random sampling within each stratum. This two-stage design balances representativeness against field cost.","Describe how households are selected within a sampled village or block, and why stratification is used at this stage."
igot-stat-101,Fundamentals of Official Statistics,statistical,L1,"Explain the structure of India's NSS survey rounds, core sampling design choices, and how raw field data becomes a published estimate.",4,From Field Schedules to Estimates,"Completed field schedules are scrutinized, coded, and entered into a central processing system, where design weights are applied to each household's responses to produce state and national estimates. Data validation at this stage catches inconsistent or out-of-range entries before they reach publication.",Outline the steps between a completed field schedule and a published estimate.
igot-stat-101,Fundamentals of Official Statistics,statistical,L1,"Explain the structure of India's NSS survey rounds, core sampling design choices, and how raw field data becomes a published estimate.",5,Publishing and Revising Estimates,"Initial ('provisional') estimates are published on a set timeline and may later be revised as additional validation or a fuller dataset becomes available, with revisions clearly documented. Treating a provisional estimate as final without checking for a later revision is a common analyst error.",Explain the difference between provisional and revised estimates and why analysts should check for the latter.
igot-stat-204,Advanced Survey Methodology for MoSPI,statistical,L2,"Apply stratified and multi-stage sampling design choices specific to MoSPI's large-scale surveys, including allocation and rotation design.",1,Choosing Strata for a National Survey,"Strata for a national MoSPI survey are typically defined by state and rural/urban sector, sometimes further split by district-level income tiers, chosen so that within-stratum variability is minimized. Poorly chosen strata reduce the precision gains stratification is meant to deliver.",Explain the criteria for choosing good strata in a national-scale survey.
igot-stat-204,Advanced Survey Methodology for MoSPI,statistical,L2,"Apply stratified and multi-stage sampling design choices specific to MoSPI's large-scale surveys, including allocation and rotation design.",2,Proportional vs. Optimal Allocation,"Proportional allocation assigns sample size to strata in proportion to population size, while optimal (Neyman) allocation also accounts for each stratum's variability, assigning more sample to strata that are both large and highly variable. Optimal allocation generally gives lower variance for the same total sample size.",Compare proportional and optimal allocation and explain when optimal allocation gives a clear advantage.
igot-stat-204,Advanced Survey Methodology for MoSPI,statistical,L2,"Apply stratified and multi-stage sampling design choices specific to MoSPI's large-scale surveys, including allocation and rotation design.",3,Multi-Stage Design with Sub-Stratification,"Large surveys often sub-stratify first-stage units by size class before selection, then apply a second stage of household selection within each chosen unit, sometimes with a third stage for specific population subgroups. Each additional stage introduces its own design effect on variance.",Describe why each additional sampling stage introduces an added design effect.
